_id,Collection_date,forcens_lat,forcens_long,ind_area,ind_area_log,ind_diam,IRN,Lat_decimal,Long_decimal,num_neighb_300km,ocean,pp_value,rel_abund_median_300km,rel_abund_nearest,Sea_Depth_meters,species,title_abbrev,tmn_0m,total_ind,Vessel,ZF_PF_no_
3008,21/03/1876,-24.06667,-15.11667,86686.3,11.37005,350.1679,5465607,-21.25,-14.03333,1,Atlantic,181.1255,0,0,-3740,obliquiloculata,P. obliquiloculata,22.5,4,HMS Challenger,6607
3063,31/10/1887,-20.58,63.533,88396.99,11.38959,368.94,5465615,-19.56667,64.63333,4,Indian,276.6555,0.01152213,0,-2708,obliquiloculata,P. obliquiloculata,27.025,10,HMS Egeria,6615
2952,26/08/1889,-15.15,-176.49,209743.2,12.25364,560.1631,5465420,-15.65,-179.0625,1,Pacific,308.0549,0.001006036,0.001006036,-2519,dutertrei,N. dutertrei,29.3,17,HMS Egeria,6420
2977,16/05/1955,-34,172,57198.45,10.95428,293.2247,5465423,-33.88333,173.8333,2,Pacific,367.9195,0.004901961,0,-2464,dutertrei,N. dutertrei,19.643,20,HMNZS Lachlan,6423
3197,11/03/1875,1.266667,149.2,91525.5,11.42437,379.4969,5465628,-0.7,147,1,Pacific,525.2136,0.1221374,0.1221374,-2213,obliquiloculata,P. obliquiloculata,29.046,18,HMS Challenger,6628
3009,21/03/1876,-24.06667,-15.11667,130339,11.77789,438.7897,5465607,-21.25,-14.03333,1,Atlantic,181.1255,0,0,-3740,obliquiloculata,P. obliquiloculata,22.5,4,HMS Challenger,6607
3069,31/10/1887,-20.58,63.533,160073.1,11.98339,493.7516,5465615,-19.56667,64.63333,4,Indian,276.6555,0.01152213,0,-2708,obliquiloculata,P. obliquiloculata,27.025,10,HMS Egeria,6615
2953,26/08/1889,-15.15,-176.49,219707.8,12.30005,584.0439,5465420,-15.65,-179.0625,1,Pacific,308.0549,0.001006036,0.001006036,-2519,dutertrei,N. dutertrei,29.3,17,HMS Egeria,6420
2980,16/05/1955,-34,172,68880.43,11.14013,319.8576,5465423,-33.88333,173.8333,2,Pacific,367.9195,0.004901961,0,-2464,dutertrei,N. dutertrei,19.643,20,HMNZS Lachlan,6423
3214,06/09/1897,0,-164.98,89302.26,11.39978,356.4511,5465629,1.21333,-161.8367,1,Pacific,659.8188,0.09278351,0.09278351,-4634,obliquiloculata,P. obliquiloculata,28.347,14,HMS Penguin,6629
3010,21/03/1876,-24.06667,-15.11667,150647.6,11.9227,457.0024,5465607,-21.25,-14.03333,1,Atlantic,181.1255,0,0,-3740,obliquiloculata,P. obliquiloculata,22.5,4,HMS Challenger,6607
3071,31/07/2005,-12.3,64.73333,147379.4,11.90077,461.4235,5465616,-12.11667,64.125,5,Indian,410.9045,0.0623053,0.09281437,-3322,obliquiloculata,P. obliquiloculata,27.745,11,HMS Sealark,6616
